"Region, subregion, country or area *",Location code,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,,,,,,,,
Kuwait,414,4934.508,5026.078,5102.773,5168.369,5224.93,5276.042,5324.198,5371.643,5419.95,5469.088,5519.021,5569.67,5620.963,5672.832,5725.241,5778.074,5831.21,5884.64,5938.322,5992.102,6045.936,6099.773,6153.488,6207.109,6260.705,6314.25,6367.756,6421.24,6474.692,6528.196,6581.812,6635.638,6689.769,6744.316,6799.337,6854.81,6910.768,6967.287,7024.428,7082.174,7140.418,7199.169,7258.526,7318.518,7379.175,7440.494,7502.414,7564.954,7628.232,7692.171,7756.643,7821.657,7887.248,7953.386,8020.026,8087.145,8154.798,8222.974,8291.581,8360.632,8430.151,8500.148,8570.636,8641.627,8713.128,8785.098,8857.425,8930.124,9003.274,9076.843,9150.786,9225.082,9299.732,9374.691,9449.952,9525.708,9602.015,,,,,,,,
Lebanon,422,5805.961,5849.42,5897.467,5947.063,5997.848,6050.381,6103.808,6158.001,6210.756,6259.746,6308.829,6357.724,6407.674,6461.871,6516.248,6569.275,6620.329,6669.098,6714.441,6754.072,6794.018,6834.988,6871.779,6909.024,6944.194,6972.886,6999.26,7025.484,7049.888,7072.045,7094.616,7117.119,7139.682,7162.718,7184.232,7204.523,7225.745,7245.764,7264.464,7282.848,7299.428,7315.258,7329.262,7341.896,7352.587,7362.653,7375.569,7388.896,7400.95,7413.88,7429.558,7441.217,7446.306,7451.638,7455.573,7457.282,7458.25,7457.546,7456.914,7453.677,7450.969,7447.238,7441.137,7433.797,7423.372,7413.078,7401.018,7385.926,7369.232,7350.5,7328.953,7307.301,7284.84,7260.714,7237.785,7215.744,7192.592,,,,,,,,
Oman,512,5281.538,5494.691,5671.458,5814.722,5929.317,6026.178,6112.706,6194.366,6275.473,6356.25,6436.927,6517.804,6599.108,6681.044,6763.778,6847.378,6931.974,7017.688,7104.479,7192.222,7280.851,7370.226,7460.276,7550.98,7642.33,7734.35,7827.002,7920.185,8013.755,8107.49,8201.098,8294.39,8387.202,8479.446,8571.103,8662.052,8752.186,8841.598,8930.354,9018.409,9105.81,9192.602,9278.858,9364.526,9449.55,9533.991,9617.882,9701.379,9784.477,9867.083,9949.317,10031.366,10113.356,10195.323,10277.288,10359.317,10441.469,10523.75,10606.253,10688.987,10771.85,10854.878,10938.122,11021.502,11105.062,11188.812,11272.548,11356.168,11439.651,11522.927,11605.892,11688.491,11770.69,11852.512,11933.91,12014.766,12094.997,,,,,,,,
Qatar,634,3048.423,3115.888,3173.559,3220.915,3261.633,3299.084,3333.61,3367.295,3401.888,3437.424,3473.9,3511.258,3549.52,3588.713,3628.802,3669.744,3711.503,3754.026,3797.267,3841.189,3885.748,3930.896,3976.596,4022.824,4069.564,4116.772,4164.46,4212.656,4261.369,4310.746,4360.692,4411.238,4462.309,4513.888,4566.103,4618.872,4672.265,4726.278,4780.94,4836.551,4893.046,4950.02,5007.47,5065.464,5124.018,5183.145,5242.88,5303.187,5364.066,5425.549,5487.664,5550.356,5613.508,5677.172,5741.409,5806.163,5871.288,5937.05,6003.583,6070.522,6137.828,6205.699,6274.13,6343.056,6412.518,6482.464,6552.81,6623.563,6694.652,6766.034,6837.772,6909.835,6982.153,7054.618,7127.131,7199.666,7272.256,,,,,,,,
Saudi Arabia,682,33962.757,34566.328,35165.787,35759.241,36344.483,36910.749,37443.752,37956.087,38468.947,38982.388,39496.946,40012.64,40529.06,41045.45,41561.631,42077.219,42592.205,43106.706,43620.252,44132.845,44644.904,45156.465,45666.81,46175.489,46682.894,47189.046,47693.909,48198.042,48701.344,49203.498,49704.234,50203.308,50701.103,51197.63,51693.09,52187.245,52679.123,53169.09,53656.776,54141.962,54624.838,55105.205,55583.125,56058.192,56530.194,56998.458,57462.528,57923.095,58380.747,58835.326,59286.903,59736.268,60183.93,60630.103,61075.268,61520.208,61965.386,62411.272,62857.804,63304.716,63752.398,64200.983,64651.034,65102.91,65556.06,66009.928,66465.149,66922.028,67379.603,67837.06,68293.698,68749.557,69204.848,69658.502,70109.978,70559.391,71006.69,,,,,,,,
State of Palestine,275,5495.443,5589.623,5692.79,5800.073,5906.581,6013.692,6122.314,6232.603,6344.202,6458.359,6574.758,6692.735,6811.165,6929.336,7048.009,7168.975,7291.826,7414.145,7536.23,7657.088,7776.556,7895.095,8010.982,8123.737,8234.208,8343.12,8451.891,8559.238,8664.15,8766.661,8865.359,8960.916,9056.761,9153.093,9246.738,9339.019,9433.003,9527.525,9618.606,9707.346,9795.722,9882.296,9965.593,10048.046,10128.918,10206.983,10284.82,10362.055,10435.776,10504.48,10570.649,10636.254,10700.492,10760.772,10816.856,10868.506,10918.983,10970.575,11018.921,11061.736,11101.644,11138.948,11173.588,11205.702,11236.67,11265.894,11292.864,11319.49,11344.822,11368.761,11390.09,11410.013,11428.622,11445.783,11461.462,11473.506,11482.186,,,,,,,,
Syrian Arab Republic,760,24672.76,25620.427,26472.497,27261.538,28006.551,28719.304,29395.54,30029.817,30633.651,31212.47,31768.131,32294.793,32788.145,33258.403,33710.715,34131.233,34533.185,34916.934,35279.861,35623.329,35944.39,36265.286,36583.262,36878.637,37171.022,37477.69,37793.372,38104.386,38405.282,38721.837,39054.293,39368.398,39670.581,39961.168,40238.147,40530.398,40823.977,41088.486,41335.313,41578.973,41823.208,42068.747,42294.462,42492.722,42677.394,42839.336,42982.25,43123.472,43261.218,43381.016,43481.646,43575.382,43662.464,43725.97,43766.728,43813.248,43889.936,43971.33,44033.886,44077.522,44108.508,44142.31,44149.497,44136.238,44135.056,44138.102,44123.099,44101.402,44080.744,44052.054,44013.439,43975.476,43935.136,43877.577,43817.373,43753.607,43686.647,,,,,,,,
T�rkiye,792,87473.805,87685.426,87926.082,88198.449,88480.389,88755.438,89027.542,89292.981,89538.361,89768.838,89985.413,90188.557,90384.514,90570.005,90735.308,90881.253,91009.68,91119.938,91216.558,91294.687,91353.309,91392.535,91418.744,91427.267,91404.165,91348.308,91258.061,91140.413,90994.873,90822.318,90624.691,90401.563,90146.993,89860.967,89554.315,89220.609,88863.276,88489.94,88094.494,87678.516,87244.714,86793.663,86330.698,85859.809,85376.502,84876.222,84358.563,83826.3,83281.3,82725.56,82155.158,81572.524,80982.605,80384.573,79782.053,79173.745,78555.666,77929.526,77295.425,76653.88,76011.685,75360.716,74700.33,74039.774,73374.454,72701.094,72021.272,71340.82,70664.47,69986.635,69312.782,68646.932,67984.307,67321.295,66660.103,65999.213,65338.458,,,,,,,,
United Arab Emirates,784,11027.129,11346,11574.682,11755.596,11912.256,12054.64,12190.605,12327.11,12467.816,12612.265,12760.076,12910.702,13063.716,13218.798,13375.742,13534.189,13693.776,13854.524,14016.332,14179.096,14342.812,14507.366,14673.759,14843.818,15016.877,15191.614,15367.392,15543.672,15720.976,15900.02,16081.439,16264.89,16450.041,16637.528,16827.635,17020.198,17214.83,17412.137,17613.168,17817.88,18026.058,18237.403,18451.478,18668.363,18888,19110.154,19334.289,19560.135,19787.409,20015.9,20245.058,20474.288,20703.707,20933.012,21161.825,21389.974,21617.417,21844.113,22070.029,22295.061,22519.025,22741.916,22964.204,23186.347,23408.452,23630.654,23852.866,24075.187,24298.127,24521.988,24747.048,24973.506,25201.603,25431.504,25663.508,25897.696,26134.299,,,,,,,,
Yemen,887,40583.164,41773.878,42961.653,44145.626,45323.692,46497.581,47667.662,48827.514,49979.106,51129.878,52280.002,53429.326,54578.054,55724.269,56872.165,58024.73,59181.526,60345.68,61517.976,62696.536,63880.186,65066.356,66253.597,67438.815,68620.866,69799.804,70976.403,72147.203,73306.845,74454.837,75593.472,76722.92,77839.994,78944.478,80037.22,81115.685,82176,83219.625,84247.677,85256.624,86242.602,87210.883,88166.427,89106.228,90029.934,90938.609,91830.013,92705.776,93564.801,94403.353,95224.79,96028.905,96815.866,97584.486,98335.674,99073.561,99794.205,100497.754,101183.091,101850.777,102502.664,103138.5,103754.291,104347.347,104920.631,105472.78,106002.503,106510.73,106998.027,107459.604,107895.476,108308.131,108699.43,109068.203,109414.685,109738.709,110035.634,,,,,,,,
Europe,908,745083.823,744398.832,743482.362,742372.065,741158.533,739842.223,738433.454,736926.468,735366.259,733800.992,732210.654,730590.51,728934.111,727248.398,725552.262,723830.954,722101.624,720390.98,718678.461,716926.074,715121.947,713279.853,711394.377,709439.048,707395.61,705257.023,703027.759,700716.758,698326.812,695814.617,693182.834,690463.246,687665.16,684831.505,681963.687,679061.91,676159.84,673265.698,670376.688,667509.786,664668.171,661857.376,659098.134,656409.436,653774.539,651180.936,648640.32,646154.838,643736.276,641374.223,639053.018,636811.848,634652.374,632526.191,630440.41,628409.908,626433.289,624524.046,622656.678,620817.376,619008.443,617216.745,615446.793,613719.078,612034.425,610363.527,608693.069,607048.388,605422.246,603809.866,602219.966,600613.29,598966.982,597303.195,595640.796,593961.272,592250.635,,,,,,,,
Eastern Europe,923,285003.032,284452.005,283704.971,282602.145,281456.152,280276.519,279068.025,277827.956,276577.02,275336.576,274099.079,272866.591,271640.229,270419.216,269212.251,268019.666,266849.87,265705.152,264578.911,263465.342,262360.872,261271.917,260190.695,259096.176,257975.849,256831.812,255659.22,254455.034,253227.92,251960.954,250652.17,249315.778,247957.308,246593.124,245209.09,243804.895,242410.362,241013.432,239609.086,238202.968,236790.48,235383.81,233993.646,232632.514,231293.056,229958.04,228632.717,227321.624,226045.529,224813.058,223606.73,222430.653,221292.498,220180.918,219090.123,218032.292,217009.812,216021.996,215057.635,214114.213,213191.484,212284.25,211394.954,210534.6,209699.368,208875.72,208060.872,207259.806,206459.947,205664.556,204888.593,204115.099,203328.854,202542.765,201756.52,200961.246,200167.856,,,,,,,,
Belarus,112,9056.696,8997.603,8937.018,8875.626,8813.86,8751.058,8687.632,8624.458,8561.292,8497.926,8434.836,8372.27,8310.226,8248.68,8187.278,8125.768,8064.466,8003.444,7943.01,7883.213,7823.422,7763.466,7703.322,7642.602,7580.622,7517.486,7453.546,7388.576,7322.182,7254.285,7185.166,7114.778,7043.348,6971.345,6899.066,6826.546,6753.786,6681.197,6608.835,6536.558,6464.519,6392.853,6321.649,6251.087,6181.422,6112.59,6044.486,5977.05,5910.45,5844.722,5779.793,5715.777,5652.578,5590.076,5528.406,5467.664,5407.683,5348.627,5290.581,5233.512,5177.397,5122.14,5067.766,5014.225,4961.454,4909.294,4857.564,4806.297,4755.353,4704.488,4653.766,4603.211,4552.796,4502.446,4452.024,4401.466,4350.961,,,,,,,,
Bulgaria,100,6757.688,6714.559,6667.66,6617.828,6566.018,6512.786,6458.243,6403.153,6348.398,6293.47,6238.211,6183.114,6127.669,6071.89,6016.846,5962.193,5907.728,5854.056,5801.387,5749.677,5698.613,5648.256,5598.424,5548.705,5499.405,5450.678,5402.217,5354.139,5306.434,5258.697,5210.895,5163.244,5115.852,5068.667,5021.579,4974.222,4926.388,4878.5,4830.916,4783.586,4736.305,4689.24,4642.625,4596.676,4551.629,4507.404,4463.711,4420.782,4378.825,4337.61,4297.012,4257.602,4219.621,4182.53,4146.35,4111.021,4076.462,4043.364,4011.53,3980.55,3950.392,3920.958,3892.426,3864.743,3837.896,3811.654,3785.85,3760.385,3735.003,3709.666,3684.337,3659.087,3633.686,3608.077,3582.562,3556.979,3531.198,,,,,,,,
Czechia,203,10735.859,10609.24,10527.78,10505.711,10481.069,10453.896,10425.089,10394.938,10363.594,10331.415,10298.788,10265.956,10233.376,10200.964,10168.994,10137.734,10107.226,10077.469,10048.354,10020.093,9992.438,9965.09,9937.605,9910.068,9882.454,9854.498,9825.544,9795.302,9764.01,9731.216,9696.472,9659.904,9621.584,9581.304,9539.418,9496.126,9451.249,9404.771,9356.976,9308.136,9258.793,9209.098,9159.545,9111.039,9063.722,9017.571,8972.728,8929.61,8888.325,8849.017,8811.824,8776.585,8743.464,8712.384,8682.783,8654.526,8627.729,8602.363,8578.316,8555.662,8534.108,8513.348,8493.107,8473.407,8454.703,8436.572,8418.482,8400.76,8383.251,8365.48,8347.324,8328.817,8309.7,8290.19,8270.346,8249.706,8228.075,,,,,,,,
Hungary,348,9676.134,9632.287,9585.818,9553.242,9519.888,9485.106,9449.115,9412.406,9375.019,9337.096,9298.724,9259.903,9221.116,9182.265,9143.649,9105.459,9067.617,9030.575,8994.16,8958.564,8923.747,8889.214,8855.135,8821.749,8789.131,8757.036,8725.347,8693.973,8662.648,8631.347,8599.604,8567.294,8534.336,8500.956,8467.489,8433.026,8397.581,8361.838,8325.674,8289.213,8252.256,8215.198,8179.078,8143.848,8109.149,8075.227,8042.274,8010.392,7979.863,7950.79,7923.085,7896.838,7872.085,7848.702,7826.636,7805.375,7784.774,7765.072,7746.134,7728.008,7710.708,7693.491,7676.142,7659.362,7643.378,7627.608,7612.096,7597.026,7582.214,7567.306,7552.185,7537.2,7522.323,7507.567,7492.514,7476.781,7460.742,,,,,,,,
Poland,616,38539.201,38140.909,37843.189,37695.02,37538.257,37372.274,37198.542,37018.012,36831.176,36639.819,36443.899,36243.788,36038.937,35829.756,35617.022,35400.13,35179.554,34956.334,34729.708,34499.25,34266.474,34031.059,33792.87,33552.187,33309.096,33063.236,32814.096,32561.485,32306.332,32048.06,31785.805,31520.111,31250.569,30977.834,30702.323,30422.635,30139.158,29852.068,29560.836,29265.319,28965.167,28661.471,28354.483,28044.402,27732.017,27418.153,27103.556,26788.405,26472.932,26157.701,25844.145,25533.666,25226.489,24922.265,24622.711,24328.048,24037.703,23752.655,23472.817,23198.842,22931.401,22670.484,22415.539,22166.289,21922.659,21684.893,21452.558,21225.016,21002.067,20783.174,20567.784,20355.965,20146.819,19939.806,19734.944,19531.649,19329.838,,,,,,,,
Republic of Moldova,498,3034.961,2996.106,2961.253,2932.384,2903.492,2874.448,2845.242,2816.257,2787.67,2759.083,2730.47,2702.011,2674.092,2646.893,2620.262,2594.117,2568.81,2544.681,2521.342,2498.522,2476.483,2454.942,2433.765,2413.19,2392.885,2372.354,2351.809,2331.186,2310.14,2288.807,2267.111,2245.228,2223.092,2200.922,2178.896,2156.766,2134.308,2111.81,2089.588,2067.724,2046.16,2024.848,2004.08,1983.706,1963.633,1944.202,1925.278,1906.952,1889.384,1872.389,1855.869,1839.772,1824.242,1808.876,1793.66,1778.834,1764.312,1750.07,1736.015,1722.104,1708.357,1694.609,1680.858,1667.274,1653.694,1640.092,1626.54,1612.845,1598.965,1585.027,1571.072,1557.051,1542.997,1529.056,1515.191,1501.426,1487.721,,,,,,,,
Romania,642,19015.088,18908.65,18800.605,18691.557,18581.89,18471.048,18359.507,18247.763,18135.675,18022.868,17909.246,17794.417,17678.048,17561.291,17443.921,17326.562,17209.718,17091.782,16973.751,16856.344,16738.28,16620.32,16502.99,16384.828,16265.695,16146.362,16027.266,15907.818,15786.54,15664.523,15541.852,15416.58,15288.92,15160.134,15030.496,14899.678,14768.088,14635.769,14502.742,14370.766,14240.312,14110.663,13983.436,13859.61,13738.884,13620.624,13504.411,13390.696,13279.476,13171.536,13066.168,12962.63,12861.113,12761.159,12662.734,12565.884,12470.346,12376.34,12284.928,12195.34,12106.78,12019.755,11933.497,11848.517,11764.994,11681.726,11598.357,11515.528,11433.199,11350.37,11267.856,11185.526,11102.768,11019.835,10936.474,10852.572,10768.185,,,,,,,,
Russian Federation,643,144820.423,143997.393,143394.458,143044.124,142669.792,142285.056,141889.41,141475.45,141060.376,140664.592,140280.781,139909.642,139551.52,139204.873,138876.8,138567.318,138281.831,138021.762,137782.74,137557.905,137345.005,137152.206,136973.708,136789.402,136585.976,136368.394,136132.775,135876.189,135608.474,135312.488,134987.341,134648.659,134301.414,133958.318,133603.999,133239.604,132893.469,132551.964,132208.988,131867.772,131523.762,131187.335,130864.356,130565.036,130281.13,129994.702,129710.829,129431.946,129176.939,128954.13,128745.957,128554.059,128384.938,128229.056,128079.196,127947.642,127837.919,127746.8,127662.468,127582.57,127507.134,127431.069,127358.333,127299.702,127250.087,127198.376,127144.109,127091.69,127029.418,126963.717,126909.277,126848.48,126768.766,126683.864,126593.691,126491.033,126386.516,,,,,,,,
Slovakia,703,5506.76,5474.881,5451.342,5441.445,5429.796,5416.436,5401.392,5384.892,5367.13,5348.216,5328.28,5307.343,5285.48,5262.928,5239.772,5216.124,5192.01,5167.47,5142.686,5117.643,5092.334,5066.92,5041.376,5015.615,4989.62,4963.258,4936.488,4909.328,4881.652,4853.396,4824.621,4795.153,4764.789,4733.608,4701.577,4668.684,4635.021,4600.678,4565.666,4530.015,4493.84,4457.251,4420.406,4383.301,4345.942,4308.542,4271.288,4234.289,4197.586,4161.327,4125.693,4090.676,4056.328,4022.729,3989.986,3958.104,3926.993,3896.685,3867.209,3838.506,3810.538,3783.276,3756.697,3730.808,3705.542,3680.765,3656.44,3632.534,3608.979,3585.745,3562.766,3539.974,3517.358,3494.823,3472.278,3449.757,3427.216,,,,,,,,
Ukraine,804,37860.222,38980.376,39535.848,39245.208,38952.091,38654.41,38353.852,38050.627,37746.691,37442.089,37135.845,36828.148,36519.765,36209.676,35897.707,35584.26,35270.911,34957.58,34641.775,34324.131,34004.077,33680.445,33351.501,33017.83,32680.966,32338.511,31990.132,31637.037,31279.508,30918.134,30553.302,30184.826,29813.404,29440.036,29064.245,28687.608,28311.315,27934.836,27558.865,27183.878,26809.365,26435.852,26063.988,25693.807,25325.529,24959.025,24594.157,24231.503,23871.747,23513.836,23157.183,22803.047,22451.642,22103.143,21757.662,21415.193,21075.891,20740.02,20407.637,20079.12,19754.669,19435.12,19120.589,18810.274,18504.962,18204.739,17908.878,17617.727,17331.499,17049.584,16772.226,16499.789,16231.642,15967.102,15706.495,15449.878,15197.403,,,,,,,,
Northern Europe,924,108964.198,109499.697,109963.731,110404.197,110821.668,111207.069,111569.272,111908.298,112222.573,112524.628,112809.822,113078.392,113334.252,113573.616,113805.378,114028.869,114243.621,114453.447,114655.663,114852.212,115038.748,115211.604,115370.298,115515.007,115646.176,115758.159,115849.082,115920.305,115972.114,116001.035,116010.615,115996.267,115960.148,115911.753,115853.323,115781.129,115695.05,115610.349,115529.163,115445.27,115359.244,115272.528,115187.883,115107.762,115026.038,114946.481,114872.451,114801.412,114729.975,114646.682,114552.667,114458.014,114368.284,114274.736,114172.796,114064.013,113946.527,113830.256,113707.226,113569.752,113426.578,113277.286,113117.837,112952.372,112786.95,112616.702,112438.57,112257.549,112074.44,111887.273,111698.418,111503.117,111299.969,111095.311,110885.209,110664.257,110432.485,,,,,,,,
Denmark,208,5977.412,6002.507,6023.521,6041.442,6057.19,6070.613,6081.995,6091.944,6100.376,6107.586,6114.22,6119.806,6124.308,6127.824,6130.866,6133.191,6134.659,6135.556,6135.755,6135.681,6135.228,6134.656,6133.613,6131.866,6129.992,6127.737,6124.838,6121.371,6117.679,6113.506,6108.902,6103.884,6098.376,6093.058,6088.189,6083.423,6078.224,6072.976,6067.892,6062.959,6058.181,6053.336,6049.058,6045.432,6042.136,6039.22,6036.603,6034.389,6032.483,6030.139,6027.505,6025.042,6022.068,6018.848,6015.859,6012.543,6008.79,6004.852,6000.136,5994.23,5987.674,5980.59,5973.04,5965.214,5957.393,5949.369,5940.878,5932.462,5924.288,5916.28,5908.287,5900.524,5893.157,5885.653,5878.106,5870.624,5863.216,,,,,,,,
Estonia,233,1360.546,1344.232,1331.062,1323.97,1316.863,1309.807,1302.772,1295.722,1288.716,1281.803,1274.976,1268.271,1261.705,1255.269,1249.008,1242.861,1236.787,1230.731,1224.641,1218.544,1212.393,1206.184,1199.947,1193.662,1187.355,1180.914,1174.267,1167.469,1160.575,1153.57,1146.428,1139.102,1131.589,1123.999,1116.279,1108.446,1100.466,1092.38,1084.304,1076.225,1068.136,1060.037,1051.981,1043.95,1035.948,1027.979,1019.985,1012.041,1004.219,996.487,988.844,981.338,973.94,966.574,959.256,952.044,944.963,938.035,931.202,924.401,917.658,911.08,904.7,898.464,892.458,886.626,880.86,875.206,869.653,864.109,858.584,853.067,847.502,841.994,836.561,831.071,825.503,,,,,,,,
Faroe Islands,234,55.4,56.002,56.526,57.01,57.44,57.832,58.207,58.563,58.903,59.224,59.525,59.801,60.07,60.332,60.577,60.81,61.04,61.27,61.496,61.712,61.928,62.134,62.328,62.531,62.719,62.874,63.036,63.19,63.319,63.443,63.553,63.644,63.719,63.796,63.88,63.952,64.03,64.116,64.191,64.275,64.365,64.446,64.511,64.559,64.616,64.68,64.745,64.802,64.847,64.892,64.934,64.982,65.02,65.041,65.056,65.06,65.052,65.03,64.997,64.959,64.923,64.874,64.814,64.748,64.666,64.574,64.48,64.382,64.276,64.164,64.054,63.932,63.812,63.689,63.546,63.401,63.251,,,,,,,,
Finland,246,5617.31,5623.33,5621.739,5616,5608.806,5600.775,5592.051,5582.72,5572.884,5562.635,5551.884,5540.655,5529.046,5517.114,5504.992,5492.754,5480.522,5468.3,5456.015,5443.57,5431,5418.35,5405.569,5392.605,5379.286,5365.645,5351.645,5337.09,5322.066,5306.876,5291.382,5275.464,5259.38,5243.486,5228.23,5213.221,5198.126,5183.362,5169.009,5154.81,5140.664,5126.562,5112.85,5099.552,5086.193,5072.904,5059.522,5045.91,5032.176,5018.156,5003.707,4988.994,4974.014,4958.82,4943.719,4928.466,4912.824,4897.042,4881.288,4865.75,4850.461,4834.931,4819.064,4803.144,4787.44,4771.964,4756.416,4740.89,4725.622,4710.432,4695.268,4680.087,4664.818,4649.382,4633.581,4617.547,4601.058,,,,,,,,
Guernsey,831,64.28,64.476,64.61,64.701,64.768,64.806,64.824,64.826,64.822,64.809,64.779,64.725,64.66,64.589,64.512,64.425,64.326,64.225,64.112,63.986,63.852,63.707,63.559,63.398,63.213,63.011,62.8,62.582,62.356,62.128,61.906,61.678,61.446,61.213,60.97,60.724,60.475,60.234,60.004,59.779,59.55,59.311,59.074,58.849,58.642,58.438,58.234,58.042,57.85,57.654,57.465,57.275,57.085,56.911,56.734,56.547,56.362,56.182,55.996,55.808,55.62,55.431,55.248,55.067,54.894,54.723,54.548,54.376,54.217,54.062,53.898,53.733,53.57,53.401,53.236,53.073,52.91,,,,,,,,
Iceland,352,393.395,398.266,402.329,405.839,409.03,411.856,414.348,416.609,418.615,420.419,422.053,423.578,425.022,426.318,427.487,428.54,429.452,430.226,430.917,431.585,432.143,432.484,432.695,432.848,432.942,432.999,432.993,432.981,432.895,432.701,432.492,432.183,431.752,431.239,430.672,430.069,429.36,428.611,427.79,426.88,425.994,425.036,424.004,422.907,421.787,420.66,419.428,418.105,416.668,415.208,413.764,412.217,410.554,408.719,406.802,404.868,402.85,400.798,398.781,396.748,394.666,392.564,390.442,388.288,386.088,383.97,381.944,379.876,377.759,375.704,373.749,371.828,369.912,368.033,366.201,364.391,362.582,,,,,,,,
Ireland,372,5255.018,5308.039,5356.95,5402.888,5446.621,5487.474,5525.094,5560.659,5595.09,5627.708,5658.298,5686.868,5714.2,5741.479,5768.255,5793.365,5817.57,5841.486,5863.238,5882.469,5900.433,5916.936,5930.83,5942.852,5954.175,5963.613,5970.042,5973.837,5976.152,5977.056,5976.541,5973.922,5970.264,5965.128,5956.855,5946.216,5933.916,5921.729,5910.04,5898.066,5884.665,5870.132,5855.126,5839.786,5824.169,5808.103,5791.492,5774.752,5758.135,5741.398,5724.554,5708.189,5692.411,5676.94,5661.974,5647.278,5633.972,5622.558,5610.963,5598.162,5584.764,5571.102,5557.425,5543.234,5527.772,5511.287,5493.73,5475.498,5457.09,5438.247,5418.987,5399.259,5378.261,5356.07,5333.306,5309.954,5286.12,,,,,,,,
Isle of Man,833,84.16,84.118,84.054,83.963,83.852,83.726,83.59,83.439,83.273,83.104,82.916,82.707,82.477,82.241,82,81.75,81.498,81.225,80.91,80.578,80.23,79.875,79.53,79.174,78.799,78.402,77.97,77.516,77.089,76.69,76.273,75.839,75.39,74.932,74.482,74.036,73.571,73.106,72.644,72.17,71.701,71.251,70.808,70.373,69.95,69.526,69.122,68.736,68.352,67.969,67.586,67.206,66.838,66.477,66.113,65.758,65.42,65.076,64.721,64.37,64.018,63.653,63.276,62.906,62.535,62.151,61.776,61.407,61.03,60.657,60.286,59.922,59.551,59.17,58.799,58.432,58.064,,,,,,,,
Jersey,832,103.846,103.988,104.106,104.214,104.322,104.422,104.518,104.608,104.699,104.792,104.878,104.952,105.006,105.061,105.118,105.154,105.19,105.219,105.232,105.239,105.222,105.189,105.146,105.083,105.005,104.903,104.766,104.614,104.445,104.26,104.06,103.848,103.618,103.382,103.15,102.917,102.689,102.467,102.255,102.06,101.872,101.682,101.513,101.363,101.227,101.106,100.982,100.857,100.744,100.636,100.534,100.453,100.392,100.321,100.246,100.19,100.146,100.118,100.102,100.086,100.06,100.025,99.995,99.98,99.988,99.998,99.992,99.983,99.972,99.962,99.945,99.932,99.918,99.887,99.859,99.832,99.81,,,,,,,,
Latvia,428,1871.871,1853.559,1835.934,1821.563,1807.072,1792.484,1777.62,1762.869,1748.39,1734.004,1720.001,1706.428,1693.021,1679.782,1666.727,1653.611,1640.644,1627.82,1615.153,1602.639,1590.088,1577.406,1564.718,1552.135,1539.436,1526.64,1513.81,1501.015,1487.83,1474.152,1460.316,1446.39,1432.313,1418.061,1403.845,1389.74,1375.626,1361.629,1347.858,1334.154,1320.438,1306.72,1293.274,1280.031,1266.843,1253.97,1241.359,1228.852,1216.584,1204.539,1192.535,1180.566,1168.727,1157.084,1145.572,1134.094,1122.749,1111.64,1100.735,1089.989,1079.451,1069.209,1059.151,1049.166,1039.329,1029.663,1020.078,1010.524,1001.029,991.618,982.232,972.815,963.363,953.916,944.438,934.895,925.371,,,,,,,,
Lithuania,440,2859.11,2830.144,2797.338,2774.226,2751.17,2728.543,2706.358,2684.47,2662.806,2641.153,2619.272,2597.392,2575.501,2553.096,2530.462,2507.572,2484.835,2462.456,2439.832,2416.94,2394.333,2372.136,2349.908,2327.242,2304.355,2281.738,2258.774,2235.291,2211.554,2187.826,2164.009,2139.759,2115.391,2091.118,2066.923,2042.816,2018.844,1995.249,1971.968,1949.084,1926.552,1903.85,1881.175,1858.812,1836.706,1814.678,1792.884,1771.446,1750.199,1729.087,1707.775,1686.322,1664.955,1643.65,1622.387,1601.171,1579.986,1558.79,1537.666,1516.734,1496.075,1475.573,1455.416,1435.624,1415.934,1396.579,1377.668,1359.111,1340.912,1323.187,1306.015,1289.081,1272.407,1256.182,1240.218,1224.405,1208.675,,,,,,,,
Norway,578,5576.66,5623.071,5652.988,5673.549,5693.246,5711.696,5729.094,5745.652,5761.19,5775.583,5788.955,5801.417,5813.294,5824.572,5835.194,5845.09,5853.87,5861.952,5869.382,5875.574,5880.913,5886.018,5890.406,5893.786,5896.77,5898.932,5899.829,5899.792,5898.988,5896.912,5893.406,5888.914,5883.458,5877.299,5871.176,5864.985,5857.872,5850.01,5841.442,5832.173,5822.604,5812.868,5803.016,5793.104,5783.538,5774.557,5765.482,5756.37,5747.169,5737.402,5727.432,5717.579,5707.881,5697.964,5687.592,5676.744,5665.345,5653.536,5641.394,5628.76,5615.498,5601.963,5588.391,5574.504,5560.837,5547.888,5535.168,5522.782,5510.832,5498.594,5486.266,5474.022,5461.949,5450.325,5438.577,5426.22,5413.618,,,,,,,,
