Age,Gender,Breastfeeding/Pregnant,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Vitamin C,Calcium,Copper,Iron heme,Iron (non-heme),Magnesium,Phosporus,Potassium,Selenium,Zinc
23,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
24,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
25,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
26,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
27,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
28,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
29,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
30,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
31,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
32,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
33,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
34,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
35,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
36,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
37,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
38,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
39,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
40,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
41,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
42,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
43,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
44,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
45,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
46,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
47,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
48,Female,No,700,1.1,1.1,1.3,2.4,75,1000,900,18,36,320,700,2600,55,900
